UKPRN,PROVIDER_NAME,UPDATED
10030391,London Churchill College Ltd,25/09/2018
10001282,University of Northumbria at Newcastle,02/10/2018
10003678,Kingston University,02/10/2018
10006038,Southport College,02/10/2018
10007157,The University of Sheffield,02/10/2018
10007166,The University of Wolverhampton,02/10/2018
10007759,Aston University,02/10/2018
10007852,The University of Dundee,02/10/2018
10007856,Aberystwyth University,02/10/2018
10014001,University of Suffolk,02/10/2018
10019178,Point Blank Music School,02/10/2018
10001282,University of Northumbria at Newcastle,09/10/2018
10007151,The University of Lincoln,09/10/2018
10007163,The University of Warwick,09/10/2018
10007801,University of Plymouth,09/10/2018
10007855,Swansea University,09/10/2018
10022047,Empire College London Limited,09/10/2018
10004351,Middlesex University,16/10/2018
10006427,University forThe Creative Arts,16/10/2018
10007154,University of Nottingham,16/10/2018
10007156,The University of Salford,16/10/2018
10001282,University of Northumbria at Newcastle,23/10/2018
10002718,Goldsmiths College,23/10/2018
10006566,The University of West London,23/10/2018
10007145,University of Gloucestershire,23/10/2018
10007164,"University of the West of England, Bristol",23/10/2018
10007149,The University of Hull,30/10/2018
10007431,West Suffolk College,30/10/2018
10000886,The University of Brighton,06/11/2018
10006341,Stockton Riverside College,06/11/2018
10007137,The University of Chichester,06/11/2018
10007147,University of Hertfordshire,06/11/2018
10007161,Teesside University,06/11/2018
10007767,Keele University,06/11/2018
10007785,The University of Bradford,06/11/2018
10007848,University of Chester,06/11/2018
10003614,The University of Winchester,13/11/2018
10005553,Royal Holloway and Bedford New College,13/11/2018
10005946,Solihull College and University Centre,13/11/2018
10006842,The University of Liverpool,13/11/2018
10007789,The University of East Anglia,13/11/2018
10007802,The University of Reading,13/11/2018
10007842,University of Cumbria,13/11/2018
10007858,University of Wales Trinity Saint David,13/11/2018
10001282,University of Northumbria at Newcastle,20/11/2018
10001474,City of Stoke-On-Trent Sixth Form College,20/11/2018
10003425,Italia Conti Academy of Theatre Arts Limited,20/11/2018
10003678,Kingston University,20/11/2018
10006299,Staffordshire University,20/11/2018
10006566,The University of West London,20/11/2018
10007144,The University of East London,20/11/2018
10007146,The University of Greenwich,20/11/2018
10007163,The University of Warwick,20/11/2018
10007848,University of Chester,20/11/2018
10007851,University of Derby,20/11/2018
10040812,Harper Adams University,20/11/2018
10001474,City of Stoke-On-Trent Sixth Form College,27/11/2018
10003614,The University of Winchester,27/11/2018
10004603,Newcastle and Stafford Colleges Group,27/11/2018
10004607,Newham College of Further Education,27/11/2018
10006243,St Patrick's International College,27/11/2018
10006299,Staffordshire University,27/11/2018
10006378,Strode College,27/11/2018
10007145,University of Gloucestershire,27/11/2018
10007148,The University of Huddersfield,27/11/2018
10007149,The University of Hull,27/11/2018
10007160,The University of Surrey,27/11/2018
10007856,Aberystwyth University,27/11/2018
10001850,Darlington College,04/12/2018
10002917,Hartlepool College of Further Education,04/12/2018
10003614,The University of Winchester,04/12/2018
10004116,East Coast College,04/12/2018
10004603,Newcastle and Stafford Colleges Group,04/12/2018
10006299,Staffordshire University,04/12/2018
10006566,The University of West London,04/12/2018
10007161,Teesside University,04/12/2018
10007164,"University of the West of England, Bristol",04/12/2018
10007431,West Suffolk College,04/12/2018
10007842,University of Cumbria,04/12/2018
10014001,University of Suffolk,04/12/2018
10000961,Brunel University London,11/12/2018
10002852,Halesowen College,11/12/2018
10004113,Loughborough University,11/12/2018
10006299,Staffordshire University,11/12/2018
10006427,University forThe Creative Arts,11/12/2018
10007156,The University of Salford,11/12/2018
10007759,Aston University,11/12/2018
10007767,Keele University,11/12/2018
10007816,The Royal Central School of Speech and Drama,11/12/2018
10000415,Askham Bryan College,18/12/2018
10000610,Bedford College,18/12/2018
10000754,Blackpool and The Fylde College,18/12/2018
10000820,The Bournemouth and Poole College,18/12/2018
10000840,Bradford College,18/12/2018
10000878,Bridgwater and Taunton College,18/12/2018
10001378,Chesterfield College,18/12/2018
10001476,United Colleges Group,18/12/2018
10002107,The Windsor Forest Colleges Group,18/12/2018
10002899,Harlow College,18/12/2018
10003035,Hertford Regional College,18/12/2018
10003200,Hull College,18/12/2018
10003558,Kendal College,18/12/2018
10003614,The University of Winchester,18/12/2018
10003674,South Thames Colleges Group,18/12/2018
10003678,Kingston University,18/12/2018
10003753,Lakes College West Cumbria,18/12/2018
10003855,Leeds College of Building,18/12/2018
10003928,Lincoln College,18/12/2018
10004177,The Growth Company Limited,18/12/2018
10004320,The Metanoia Institute,18/12/2018
10004599,NCG,18/12/2018
10005124,Plumpton College,18/12/2018
10005343,Queen's University Belfast,18/12/2018
10005414,Redcar and Cleveland College,18/12/2018
10005470,"Richmond, The American International University in London",18/12/2018
10005534,RNN Group,18/12/2018
10005822,Shrewsbury Colleges Group,18/12/2018
10005999,Tyne Coast College,18/12/2018
10006020,Southampton City College,18/12/2018
10006299,Staffordshire University,18/12/2018
10006341,Stockton Riverside College,18/12/2018
10006840,The University of Birmingham,18/12/2018
10006842,The University of Liverpool,18/12/2018
10006963,New City College,18/12/2018
10007011,Northampton College,18/12/2018
10007148,The University of Huddersfield,18/12/2018
10007154,University of Nottingham,18/12/2018
10007157,The University of Sheffield,18/12/2018
10007160,The University of Surrey,18/12/2018
10007775,Queen Mary University of London,18/12/2018
10007782,"St George's, University of London",18/12/2018
10007786,The University of Bristol,18/12/2018
10007795,The University of Leeds,18/12/2018
10007799,Newcastle University,18/12/2018
10007817,Chichester College Group,18/12/2018
10007859,Warwickshire College,18/12/2018
10007977,Heart of Worcestershire College,18/12/2018
10080811,Hartpury University,18/12/2018
99999997,Medway School of Pharmacy,18/12/2018
10002919,Hartpury College,18/12/2018
10007139,University of Worcester,25/12/2018
10007796,The University of Leicester,25/12/2018
10000886,The University of Brighton,08/01/2019
10004078,London South Bank University,08/01/2019
10004180,The Manchester Metropolitan University,08/01/2019
10007149,The University of Hull,08/01/2019
